content,score,at,appVersion
best delivery platform,5,2025-09-20 17:15:40,19.1.6
good job,5,2025-09-20 17:15:37,19.1.4
worst experience with this app they can't help you properly ... ad being a hosteler I ordered food and I am very badly disappointed with the quality of food and I m not being provide much money for my taste I order the food but it was totally stale but tomato didn't do anything instead of being informing to restaurant what about my money ... and exchange nothing happened,1,2025-09-20 17:14:58,19.1.4
reasonable price,5,2025-09-20 17:13:18,19.1.4
"Great app indeed, never disappoints 👍",5,2025-09-20 17:11:57,19.1.4
zomato has done wonderful job to improve app experience Bhai maine aapke Shares kharid rakhe hai budhape k liye ijjat bacha k rakhna budhape me tumhare shares bech bech k man pasand items mangvakar khaunga kisi k bharose nahi rahne ka khane pine k mamle me😂😂😂,5,2025-09-20 17:11:44,19.1.4
happy to be your partner,5,2025-09-20 17:11:03,19.1.6
overall good,4,2025-09-20 17:09:58,19.1.6
it Was Very Useful and Very Trustable.So Amazing I Am also a Golden Member❤️😍and I'm loving it,5,2025-09-20 17:09:21,
heavy discount,5,2025-09-20 17:09:09,19.1.4
good,5,2025-09-20 17:08:52,
very good 👍,5,2025-09-20 17:08:26,19.1.4
worst . never order,1,2025-09-20 17:08:09,19.1.4
Amazing taste 😋,5,2025-09-20 17:07:56,19.1.4
Excellent,5,2025-09-20 17:07:20,19.1.6
Good,5,2025-09-20 17:06:11,
best service,5,2025-09-20 17:05:55,19.1.4
bdiyan h bhai🫠,5,2025-09-20 17:05:07,19.1.6
DISGUSTING AND POOR. I ORDERED FROM ZOMATO AND AFTER 40 MINUTES NEELGIRI RESTAURANT CANCELLED THE ORDER WITHOUT INFORMING. ZOMATO CUSTOMER SUPPORT DISGUSTING. DO NOT ORDER FROM ZOMATO,1,2025-09-20 17:05:06,19.1.6
better than swiggi.,5,2025-09-20 17:04:21,19.1.4
authentic food within alloted time,5,2025-09-20 17:04:16,19.1.4
service ❤️,5,2025-09-20 17:03:43,19.1.6
nice,5,2025-09-20 17:03:00,
very good service,5,2025-09-20 17:02:52,19.1.6
I'm now irritating with this app time taken is too much it show 20 minutes delivery after 20 minutes it shows 18 minutes this is too bad for anybody I'm irritating now I'm never use zomato again,1,2025-09-20 17:02:20,13.3.8
good 👍,5,2025-09-20 17:02:10,19.1.4
"excellent service, please provide more offers for regular customers",5,2025-09-20 17:02:03,19.1.6
"It's good i like it, very help full in mid night",4,2025-09-20 17:00:01,19.1.4
good,5,2025-09-20 16:59:25,19.1.6
great,5,2025-09-20 16:58:20,19.1.6
Very good app,4,2025-09-20 16:54:58,19.1.4
worst,1,2025-09-20 16:53:43,
good,4,2025-09-20 16:53:31,19.1.6
Good,4,2025-09-20 16:52:52,
good,2,2025-09-20 16:52:25,19.1.6
Zomato is one of the fraud companies.,1,2025-09-20 16:51:06,19.1.4
outstanding facility,5,2025-09-20 16:50:50,19.1.4
good app,5,2025-09-20 16:49:58,19.1.4
osm,4,2025-09-20 16:49:43,19.1.6
very convenient for me,5,2025-09-20 16:48:36,19.1.6
very good,5,2025-09-20 16:47:11,19.1.6
never went out for offers 😀,5,2025-09-20 16:46:17,19.1.4
Excellent experience. Love to use ZOMATO every time when we need some special items to relish.,5,2025-09-20 16:45:55,19.1.6
good in food,5,2025-09-20 16:44:57,
"zomato sucks. They are running a big scam these days. Today my order got delayed which I had ordered a couple of hours ago, nor they are delivering the order neither they are offering me refund on my payment. what sort of a loot is this.?? Really disappointed.",1,2025-09-20 16:43:25,19.0.7
I'm not happy with the 7km delivery limit it should be 10km at least. I am not placing an order currently due to this. disgusting service and no values for their customers,1,2025-09-20 16:43:05,18.1.7
good,5,2025-09-20 16:40:55,
very good food super,5,2025-09-20 16:40:39,19.1.4
"what to do we have to chooseu , we left with only one option and its you ..",3,2025-09-20 16:39:58,18.9.0
I was,5,2025-09-20 16:39:00,19.1.4
good,5,2025-09-20 16:38:06,
"disgusting, fake delivery time. and AI will entertain you.",1,2025-09-20 16:36:18,19.1.6
Amazing deal Every time,5,2025-09-20 16:34:56,19.1.5
best food,5,2025-09-20 16:34:46,19.1.4
still room for improvement,4,2025-09-20 16:34:41,
always late,1,2025-09-20 16:34:24,19.1.4
nowadays zomato service getting worst .. initially days when u r order was preparing delivery boy would be at counter to pickup now even after 10 15 minutes after ready for pickup .. delivery boy will not reach the hotel..by the time it deliver food will.be frozen and interesting of ordering from zomato nowadays big minus ..may be I shift to Swiggy and other quick delivery,1,2025-09-20 16:34:09,19.1.6
good,5,2025-09-20 16:33:48,19.1.4
good service,5,2025-09-20 16:32:19,19.1.4
highly priced delivery cost,1,2025-09-20 16:32:16,19.1.6
Superb,5,2025-09-20 16:32:07,19.1.6
"the food tasted authentic, like ""home-made food,"" and the quantity was sufficient.",5,2025-09-20 16:31:54,19.1.6
good,5,2025-09-20 16:31:51,19.1.4
very good,5,2025-09-20 16:31:47,19.1.4
"the best thing about zomato is, we can create multiple carts for different outlets. this is something very handy and easy to switch and decide what to eat",5,2025-09-20 16:30:32,
yes I were work with the one of the greatest food delivery company as a delivery associat that's why I know the depth of the delivery... champ,5,2025-09-20 16:30:20,
nice service,4,2025-09-20 16:29:30,19.1.4
good,5,2025-09-20 16:28:29,
superb,5,2025-09-20 16:28:29,19.1.4
"Undue Pricing!! seriously what's going on, they are charging around 18% GST on food bills for restaurant which aren't even that big. I would rather go and eat out then use the app. Same item in the restaurant is priced low, it's almost 1.5 times here, then 18%GST+ platform fee+ service and other charges which is rubbish",1,2025-09-20 16:28:09,19.1.2
SUPERR app,5,2025-09-20 16:27:16,19.1.4
good experience,5,2025-09-20 16:26:53,19.1.4
good app but need more offers that's why I give 4,3,2025-09-20 16:26:27,19.1.4
nice app,5,2025-09-20 16:25:59,
nice,5,2025-09-20 16:25:32,19.1.4
good service,5,2025-09-20 16:24:04,19.1.4
❤️,5,2025-09-20 16:22:59,19.1.4
looters,1,2025-09-20 16:22:31,19.1.6
good,5,2025-09-20 16:22:21,19.1.6
excellent experience,5,2025-09-20 16:18:49,
nice order,5,2025-09-20 16:18:24,19.1.6
Some of my food was exchanged and a cheaper local pizza was delivered.,4,2025-09-20 16:17:47,19.1.6
highly recommend,5,2025-09-20 16:17:43,19.0.7
Zomato Gold is worth it!,5,2025-09-20 16:17:28,19.1.6
best food seller,5,2025-09-20 16:15:21,19.1.6
My money was debited but the order failed it's been 3 days still my refund was not issued,1,2025-09-20 16:14:20,19.1.6
Nice service,5,2025-09-20 16:13:41,19.1.4
instant refund. like the app!,5,2025-09-20 16:12:29,
amezing,4,2025-09-20 16:12:11,19.1.1
